FIPS,State,county_state,fi_rate,number_fi_persons,percent_low_threshold,low_threshold_type,percent_high_threshold,high_threshold_type,percent_fi_below_low_threshold,percent_fi_btwn_threshold,percent_fi_above_threshold,child_fi_rate,child_fi_persons,cost_per_meal,weighted_annual_food_budget_shortfall
1001,AL,"Autauga County, Alabama",0.132,7270,1.3,SNAP,1.85,Other Nutrition Program,0.485,0.144,0.371,0.198,2670,3.19,3957000
1003,AL,"Baldwin County, Alabama",0.116,23560,1.3,SNAP,1.85,Other Nutrition Program,0.455,0.144,0.401,0.189,8480,3.57,14361000
1005,AL,"Barbour County, Alabama",0.22,5760,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.171,0.229,0.276,1520,3.09,3035000
1007,AL,"Bibb County, Alabama",0.143,3240,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.185,0.356,0.221,1050,3.05,1684000
1009,AL,"Blount County, Alabama",0.107,6140,1.3,SNAP,1.85,Other Nutrition Program,0.542,0.206,0.253,0.212,2880,3.1,3249000
1011,AL,"Bullock County, Alabama",0.248,2600,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.184,0.217,0.279,600,3.23,1432000
1013,AL,"Butler County, Alabama",0.206,4160,1.3,SNAP,1.85,Other Nutrition Program,0.646,0.163,0.191,0.247,1130,2.92,2075000
1015,AL,"Calhoun County, Alabama",0.157,18100,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.168,0.283,0.226,5750,2.95,9098000
1017,AL,"Chambers County, Alabama",0.179,6070,1.3,SNAP,1.85,Other Nutrition Program,0.589,0.223,0.188,0.221,1610,2.86,2961000
1019,AL,"Cherokee County, Alabama",0.125,3230,1.3,SNAP,1.85,Other Nutrition Program,0.559,0.223,0.218,0.206,1070,3.25,1794000
1021,AL,"Chilton County, Alabama",0.131,5740,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.161,0.226,0.221,2330,3.09,3031000
1023,AL,"Choctaw County, Alabama",0.195,2570,1.3,SNAP,1.85,Other Nutrition Program,0.571,0.219,0.211,0.246,660,2.97,1303000
1025,AL,"Clarke County, Alabama",0.229,5640,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.165,0.227,0.257,1420,2.95,2843000
1027,AL,"Clay County, Alabama",0.145,1940,1.3,SNAP,1.85,Other Nutrition Program,0.605,0.171,0.224,0.215,620,3.09,1025000
1029,AL,"Cleburne County, Alabama",0.135,2020,1.3,SNAP,1.85,Other Nutrition Program,0.524,0.219,0.257,0.24,830,2.97,1023000
1031,AL,"Coffee County, Alabama",0.142,7240,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.176,0.336,0.219,2660,3.37,4165000
1033,AL,"Colbert County, Alabama",0.147,8000,1.3,SNAP,1.85,Other Nutrition Program,0.516,0.151,0.333,0.222,2600,2.77,3787000
1035,AL,"Conecuh County, Alabama",0.209,2650,1.3,SNAP,1.85,Other Nutrition Program,0.646,0.237,0.117,0.263,730,2.93,1326000
