FIPS,State Name,State,2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child Food Insecurity Rate,# of Food Insecure Children in 2017,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
1,Alabama,AL,16.3%,"795,760",130%,SNAP,185%,Other Nutrition Program,51.9%,16.1%,32.0%,22.3%,"243,880",72%,28%,$2.98,"$404,180,000"
2,Alaska,AK,13.6%,"100,310",130%,SNAP,185%,Other Nutrition Program,44.5%,15.2%,40.4%,18.7%,"34,690",59%,41%,$3.37,"$57,721,000"
4,Arizona,AZ,14.0%,"979,170",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.8%,,35.2%,21.3%,"348,550",67%,33%,$2.89,"$482,358,000"
5,Arkansas,AR,17.3%,"518,960",130%,SNAP,185%,Other Nutrition Program,50.6%,17.2%,32.2%,23.6%,"167,440",70%,30%,$2.79,"$246,939,000"
6,California,CA,11.0%,"4,354,400",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.3%,,24.7%,18.1%,"1,638,430",63%,37%,$3.20,"$2,381,146,000"
8,Colorado,CO,10.6%,"596,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.2%,,34.8%,14.0%,"177,360",59%,41%,$3.24,"$329,732,000"
9,Connecticut,CT,11.3%,"406,810",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.2%,,43.8%,15.5%,"115,240",63%,37%,$3.27,"$227,321,000"
10,Delaware,DE,12.2%,"117,320",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,17.0%,"34,750",69%,31%,$3.12,"$62,450,000"
11,District of Columbia,DC,11.0%,"76,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.2%,,27.8%,21.2%,"26,450",71%,29%,$3.95,"$51,543,000"
12,Florida,FL,13.4%,"2,806,770",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.3%,,27.7%,20.4%,"854,880",68%,32%,$3.22,"$1,540,091,000"
13,Georgia,GA,14.4%,"1,501,680",130%,SNAP,185%,Other Nutrition Program,51.0%,16.1%,32.9%,20.0%,"503,370",68%,32%,$2.93,"$749,671,000"
15,Hawaii,HI,11.3%,"161,270",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",51.8%,,48.2%,17.5%,"53,540",43%,57%,$3.30,"$90,737,000"
16,Idaho,ID,12.3%,"210,420",130%,SNAP,185%,Other Nutrition Program,45.7%,18.1%,36.2%,15.8%,"69,920",65%,35%,$2.94,"$105,626,000"
17,Illinois,IL,10.9%,"1,395,970",165%,SNAP,185%,Other Nutrition Program,62.6%,2.5%,34.9%,15.7%,"453,260",66%,34%,$2.80,"$668,124,000"
18,Indiana,IN,13.3%,"887,070",130%,SNAP,185%,Other Nutrition Program,51.7%,14.1%,34.1%,17.4%,"273,380",67%,33%,$2.62,"$396,443,000"
19,Iowa,IA,10.9%,"341,890",160%,SNAP,185%,Other Nutrition Program,52.4%,4.9%,42.7%,15.3%,"111,520",58%,42%,$2.70,"$157,367,000"
20,Kansas,KS,12.7%,"370,860",130%,SNAP,185%,Other Nutrition Program,44.7%,15.4%,39.9%,18.3%,"130,210",63%,37%,$2.86,"$181,199,000"
21,Kentucky,KY,14.9%,"662,360",130%,SNAP,185%,Other Nutrition Program,56.0%,10.8%,33.2%,18.4%,"186,660",70%,30%,$2.66,"$300,483,000"
22,Louisiana,LA,16.5%,"773,850",130%,SNAP,185%,Other Nutrition Program,59.1%,11.6%,29.3%,23.0%,"255,640",71%,29%,$3.01,"$396,905,000"
23,Maine,ME,12.9%,"172,650",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.8%,,43.2%,18.5%,"47,020",56%,44%,$3.50,"$103,223,000"
24,Maryland,MD,10.7%,"650,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.8%,,37.2%,15.2%,"204,660",61%,39%,$3.14,"$347,927,000"
25,Massachusetts,MA,9.0%,"616,090",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.8%,,33.2%,11.7%,"159,950",65%,35%,$3.55,"$373,245,000"
26,Michigan,MI,13.7%,"1,369,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.6%,,28.4%,15.9%,"345,130",68%,32%,$2.79,"$652,838,000"
27,Minnesota,MN,9.1%,"504,760",165%,SNAP,185%,Other Nutrition Program,57.3%,2.8%,39.9%,12.6%,"163,310",67%,33%,$3.00,"$258,233,000"
28,Mississippi,MS,19.2%,"573,610",130%,SNAP,185%,Other Nutrition Program,54.4%,14.1%,31.5%,22.9%,"163,530",71%,29%,$2.93,"$286,997,000"
29,Missouri,MO,14.2%,"865,400",130%,SNAP,185%,Other Nutrition Program,48.7%,14.8%,36.4%,17.5%,"243,110",65%,35%,$2.78,"$409,933,000"
30,Montana,MT,11.1%,"116,120",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.3%,,33.7%,16.1%,"36,910",57%,43%,$2.96,"$58,669,000"
31,Nebraska,NE,11.6%,"223,170",130%,SNAP,185%,Other Nutrition Program,42.3%,14.3%,43.4%,17.4%,"82,370",63%,37%,$2.83,"$107,760,000"
32,Nevada,NV,12.2%,"365,160",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.2%,,27.8%,20.0%,"136,800",60%,40%,$3.05,"$190,010,000"
33,New Hampshire,NH,9.1%,"122,860",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",48.0%,,52.0%,12.3%,"31,640",53%,47%,$3.31,"$69,502,000"
34,New Jersey,NJ,9.6%,"865,900",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.4%,,34.6%,13.2%,"260,340",67%,33%,$3.24,"$478,385,000"
35,New Mexico,NM,15.5%,"324,000",165%,SNAP,185%,Other Nutrition Program,69.5%,3.4%,27.0%,24.1%,"118,030",73%,27%,$2.87,"$158,536,000"
36,New York,NY,11.4%,"2,261,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.7%,,25.3%,17.6%,"732,300",66%,34%,$3.14,"$1,210,704,000"
37,North Carolina,NC,14.6%,"1,503,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.7%,,30.3%,20.1%,"461,630",67%,33%,$2.87,"$735,321,000"
38,North Dakota,ND,7.3%,"54,930",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.8%,,38.2%,9.8%,"16,900",55%,45%,$3.07,"$28,813,000"
39,Ohio,OH,14.5%,"1,691,910",130%,SNAP,185%,Other Nutrition Program,50.5%,12.7%,36.8%,19.6%,"510,030",66%,34%,$2.76,"$797,169,000"
40,Oklahoma,OK,15.8%,"621,370",130%,SNAP,185%,Other Nutrition Program,49.0%,16.4%,34.6%,22.2%,"213,720",64%,36%,$2.87,"$304,698,000"
41,Oregon,OR,12.3%,"510,080",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.0%,,32.0%,18.9%,"165,290",63%,37%,$2.97,"$258,439,000"
42,Pennsylvania,PA,12.0%,"1,534,710",160%,SNAP,185%,Other Nutrition Program,56.9%,3.3%,39.8%,16.4%,"437,340",63%,37%,$3.04,"$797,438,000"
44,Rhode Island,RI,11.4%,"120,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.5%,,38.5%,17.3%,"35,760",63%,37%,$3.23,"$66,402,000"
45,South Carolina,SC,13.5%,"679,990",130%,SNAP,185%,Other Nutrition Program,54.8%,15.2%,30.0%,18.3%,"202,110",68%,32%,$2.80,"$324,978,000"
46,South Dakota,SD,11.4%,"99,190",130%,SNAP,185%,Other Nutrition Program,45.5%,11.9%,42.6%,16.4%,"34,970",58%,42%,$3.02,"$51,050,000"
47,Tennessee,TN,13.9%,"934,310",130%,SNAP,185%,Other Nutrition Program,53.7%,15.0%,31.2%,18.9%,"285,770",69%,31%,$2.96,"$472,085,000"
48,Texas,TX,14.9%,"4,217,470",165%,SNAP,185%,Other Nutrition Program,61.2%,3.4%,35.4%,22.5%,"1,658,680",63%,37%,$2.71,"$1,949,246,000"
49,Utah,UT,12.1%,"373,850",130%,SNAP,185%,Other Nutrition Program,40.0%,14.3%,45.8%,14.7%,"135,940",51%,49%,$2.81,"$179,279,000"
50,Vermont,VT,11.9%,"74,520",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",59.6%,,40.4%,15.9%,"18,760",61%,39%,$3.38,"$42,994,000"
51,Virginia,VA,10.2%,"863,390",130%,SNAP,185%,Other Nutrition Program,48.4%,13.5%,38.1%,13.2%,"247,470",62%,38%,$3.03,"$446,691,000"
53,Washington,WA,11.5%,"848,990",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.9%,,35.1%,17.3%,"284,760",57%,43%,$3.04,"$440,879,000"
54,West Virginia,WV,14.8%,"268,070",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.7%,,31.3%,20.6%,"76,970",65%,35%,$2.71,"$123,886,000"
55,Wisconsin,WI,10.0%,"578,480",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.0%,,31.0%,15.4%,"197,290",62%,38%,$2.77,"$273,911,000"
56,Wyoming,WY,12.3%,"71,060",130%,SNAP,185%,Other Nutrition Program,39.8%,14.4%,45.8%,17.4%,"23,960",54%,46%,$3.05,"$36,970,000"
