FIPS,State,"County, State",2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child food insecurity rate,# of Food Insecure Children in 2017,% food insecure children in HH w/ HH incomes below 185 FPL in 2017,% food insecure children in HH w/ HH incomes above 185 FPL in 2017,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",13.2%," 7,270 ",130%,SNAP,185%,Other Nutrition Program,48.5%,14.4%,37.1%,19.8%," 2,670 ",66%,34%,$3.19,"$3,957,000.00"
1003,AL,"Baldwin County, Alabama",11.6%," 23,560 ",130%,SNAP,185%,Other Nutrition Program,45.5%,14.4%,40.1%,18.9%," 8,480 ",66%,34%,$3.57,"$14,361,000.00"
1005,AL,"Barbour County, Alabama",22.0%," 5,760 ",130%,SNAP,185%,Other Nutrition Program,60.1%,17.1%,22.9%,27.6%," 1,520 ",79%,21%,$3.09,"$3,035,000.00"
1007,AL,"Bibb County, Alabama",14.3%," 3,240 ",130%,SNAP,185%,Other Nutrition Program,45.9%,18.5%,35.6%,22.1%," 1,050 ",84%,16%,$3.05,"$1,684,000.00"
1009,AL,"Blount County, Alabama",10.7%," 6,140 ",130%,SNAP,185%,Other Nutrition Program,54.2%,20.6%,25.3%,21.2%," 2,880 ",76%,24%,$3.10,"$3,249,000.00"
1011,AL,"Bullock County, Alabama",24.8%," 2,600 ",130%,SNAP,185%,Other Nutrition Program,59.8%,18.4%,21.7%,27.9%, 600 ,71%,29%,$3.23,"$1,432,000.00"
1013,AL,"Butler County, Alabama",20.6%," 4,160 ",130%,SNAP,185%,Other Nutrition Program,64.6%,16.3%,19.1%,24.7%," 1,130 ",84%,16%,$2.92,"$2,075,000.00"
1015,AL,"Calhoun County, Alabama",15.7%," 18,100 ",130%,SNAP,185%,Other Nutrition Program,54.9%,16.8%,28.3%,22.6%," 5,750 ",80%,20%,$2.95,"$9,098,000.00"
1017,AL,"Chambers County, Alabama",17.9%," 6,070 ",130%,SNAP,185%,Other Nutrition Program,58.9%,22.3%,18.8%,22.1%," 1,610 ",85%,15%,$2.86,"$2,961,000.00"
1019,AL,"Cherokee County, Alabama",12.5%," 3,230 ",130%,SNAP,185%,Other Nutrition Program,55.9%,22.3%,21.8%,20.6%," 1,070 ",83%,17%,$3.25,"$1,794,000.00"
1021,AL,"Chilton County, Alabama",13.1%," 5,740 ",130%,SNAP,185%,Other Nutrition Program,61.3%,16.1%,22.6%,22.1%," 2,330 ",89%,12%,$3.09,"$3,031,000.00"
1023,AL,"Choctaw County, Alabama",19.5%," 2,570 ",130%,SNAP,185%,Other Nutrition Program,57.1%,21.9%,21.1%,24.6%, 660 ,74%,26%,$2.97,"$1,303,000.00"
1025,AL,"Clarke County, Alabama",22.9%," 5,640 ",130%,SNAP,185%,Other Nutrition Program,60.7%,16.5%,22.7%,25.7%," 1,420 ",74%,26%,$2.95,"$2,843,000.00"
1027,AL,"Clay County, Alabama",14.5%," 1,940 ",130%,SNAP,185%,Other Nutrition Program,60.5%,17.1%,22.4%,21.5%, 620 ,91%,9%,$3.09,"$1,025,000.00"
1029,AL,"Cleburne County, Alabama",13.5%," 2,020 ",130%,SNAP,185%,Other Nutrition Program,52.4%,21.9%,25.7%,24.0%, 830 ,78%,22%,$2.97,"$1,023,000.00"
1031,AL,"Coffee County, Alabama",14.2%," 7,240 ",130%,SNAP,185%,Other Nutrition Program,48.8%,17.6%,33.6%,21.9%," 2,660 ",69%,31%,$3.37,"$4,165,000.00"
1033,AL,"Colbert County, Alabama",14.7%," 8,000 ",130%,SNAP,185%,Other Nutrition Program,51.6%,15.1%,33.3%,22.2%," 2,600 ",71%,29%,$2.77,"$3,787,000.00"
1035,AL,"Conecuh County, Alabama",20.9%," 2,650 ",130%,SNAP,185%,Other Nutrition Program,64.6%,23.7%,11.7%,26.3%, 730 ,82%,18%,$2.93,"$1,326,000.00"
1037,AL,"Coosa County, Alabama",15.7%," 1,720 ",130%,SNAP,185%,Other Nutrition Program,56.8%,26.9%,16.2%,19.7%, 380 ,97%,3%,$3.33,"$977,000.00"
1039,AL,"Covington County, Alabama",14.6%," 5,480 ",130%,SNAP,185%,Other Nutrition Program,52.6%,18.1%,29.2%,22.6%," 1,860 ",76%,24%,$2.93,"$2,740,000.00"
1041,AL,"Crenshaw County, Alabama",15.8%," 2,200 ",130%,SNAP,185%,Other Nutrition Program,54.7%,19.6%,25.7%,21.3%, 670 ,76%,24%,$3.20,"$1,201,000.00"
1043,AL,"Cullman County, Alabama",11.8%," 9,660 ",130%,SNAP,185%,Other Nutrition Program,54.0%,20.8%,25.3%,20.1%," 3,690 ",80%,20%,$3.05,"$5,024,000.00"
1045,AL,"Dale County, Alabama",16.1%," 7,940 ",130%,SNAP,185%,Other Nutrition Program,54.4%,16.6%,29.0%,22.5%," 2,610 ",74%,26%,$3.10,"$4,199,000.00"
1047,AL,"Dallas County, Alabama",27.2%," 11,100 ",130%,SNAP,185%,Other Nutrition Program,70.8%,17.1%,12.1%,29.8%," 3,000 ",76%,24%,$3.05,"$5,771,000.00"
